X_UTM,Y_UTM,X_NZTM,Y_NZTM,DISTANCE,GPS_ELEV,SP_mVolts,CO2_gm-2d-1,Remarks,X_NZTM_new,Y_NZTM_new,LiDAR_z
306786,5927197,1763727.914,5927813.537,460,37,-126.9528024,0,,1763727.914,5927813.537,29.89
306806,5927193,1763747.726,5927808.705,480,37,-145.1681416,0,,1763747.726,5927808.705,31.57
306824,5927187,1763765.457,5927801.958,500,38,-151.3834808,0,,1763765.457,5927801.958,32.53
306845,5927184,1763786.311,5927798.084,520,40,-144.5988201,0,,1763786.311,5927798.084,33.58
306864,5927180,1763805.125,5927793.294,540,40,-178.8141593,0,,1763805.125,5927793.294,34.38
306884,5927175,1763824.896,5927787.463,560,40,-195.0294985,0,,1763824.896,5927787.463,35.21
306903,5927168,1763843.584,5927779.676,580,40,-194.2448378,0,,1763843.584,5927779.676,35.84
306920,5927160,1763860.233,5927770.973,600,42,-199.460177,0,,1763860.233,5927770.973,36.13
306939,5927151,1763878.838,5927761.188,620,42,-201.6755162,0,,1763878.838,5927761.188,36.55
306956,5927142,1763895.444,5927751.487,640,43,-200.8908555,0,,1763895.444,5927751.487,36.9
306975,5927134,1763914.091,5927742.7,660,44,-186.1061947,0,,1763914.091,5927742.7,37.55
306992,5927126,1763930.74,5927733.998,680,44,-167.3215339,0,,1763930.74,5927733.998,38.1
307011,5927122,1763949.553,5927729.208,700,46,-210.5368732,0,,1763949.553,5927729.208,39.26
307031,5927118,1763969.366,5927724.376,720,46,-217.7522124,0,,1763969.366,5927724.376,39.42
307034,5927116,1763972.28,5927722.253,740,47,-215.9675516,0,,1763988.782,5927719.63,39.79
307071,5927110,1764008.992,5927714.712,760,46,-211.1828909,0,,1764008.992,5927714.712,40.55
